instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si4_b06_m400.05 3 1 0 0 0 0 0 1 1 1 31 30 30
si4_b06_m400.08 3 1 1 1 0 0 0 0 0 0 31 28 31
si4_b06_m400.02 3 1 1 0 0 0 0 0 1 1 29 31 31
si2_m4Dr6_m256.06 6 1 0 0 0 0 0 0 2 1 8 8 9
si2_m4Dr6_m256.05 6 1 0 0 0 0 0 0 0 0 6 7 7
si2_m4Dr6_m256.09 6 1 0 0 0 0 0 0 0 0 6 6 7
si2_m4Dr6_m256.00 6 1 0 0 0 0 0 0 0 0 10 8 8
si2_m4Dr6_m256.07 6 1 0 0 0 0 0 0 0 0 7 7 8
si2_m4Dr6_m256.04 6 1 0 0 0 0 0 0 0 0 7 7 7
si2_m4Dr6_m256.02 6 1 0 0 0 0 1 0 0 0 9 7 11
si2_m4Dr6_m256.01 6 1 0 0 0 0 0 0 0 0 7 7 9
si2_m4Dr6_m256.08 6 1 0 0 0 0 4 0 0 0 8 7 10
si2_m4Dr6_m256.03 6 1 0 0 0 0 0 11 32 32 7 7 8
si6_r01_m200.04 7 1 1 26 15 1 1 15 2 2 11 11 12
si6_r01_m200.08 7 1 8 13 13 5 77 13 5 5 16 16 16
si6_r01_m200.02 7 1 23 71 55 18 14 52 44 85 21 20 20
si6_r01_m200.09 7 1 9 267 192 33 6 105 28 42 15 16 13
si6_r01_m200.07 7 1 9 29 26 8 32 28 11 10 15 13 14
si6_r01_m200.00 7 1 34 33 0 37 912 0 24 175 35 36 30
si6_r01_m200.01 7 1 3 712 44 4 8 546 5 5 13 13 13
si6_r01_m200.03 7 1 111 108 197 127 1349 184 147 44 60 44 26
si6_r01_m200.05 7 1 19 213 151 19 23 174 8 11 28 35 28
si6_r01_m200.06 7 1 10 146 27 21 10 74 13 44 15 14 17
si2_b03m_m800.03 4 1 1 1 1 1 1 1 1 1 72 73 81
si2_b03m_m800.02 4 1 2 2 2 2 2 1 1 1 66 66 63
si2_b03m_m800.09 4 1 1 1 1 1 1 1 1 1 67 68 66
si2_b03m_m800.04 4 1 1 1 1 1 1 1 1 1 68 63 73
si2_b03m_m800.06 4 1 1 1 1 1 1 1 1 1 64 72 69
si2_b03m_m800.05 4 1 1 1 1 1 1 1 1 1 69 70 65
si2_b03m_m800.01 4 1 1 1 1 1 1 1 1 1 71 64 60
si2_b03m_m800.08 4 1 1 1 1 1 1 0 1 1 68 68 65
si2_b03m_m800.07 4 1 1 1 1 1 1 1 2 1 60 60 59
si2_b03m_m800.00 4 1 1 1 1 1 1 1 2 1 67 66 63
si2_r001_m200.06 7 1 0 719 0 0 0 0 0 0 9 6 7
si2_r001_m200.01 7 1 0 0 0 0 3 0 0 0 5 5 6
si2_r001_m200.02 7 1 0 0 0 0 1 0 0 0 5 6 6
si2_r001_m200.07 7 1 0 0 0 0 0 0 0 0 6 5 9
si2_r001_m200.04 7 1 0 0 0 0 0 0 0 0 6 6 9
si2_r001_m200.05 7 1 0 1 0 290846 0 0 6 1 6 6 7
si2_r001_m200.09 7 1 0 0 0 0 0 0 0 0 8 6 7
si2_r001_m200.03 7 1 0 0 0 0 0 0 0 0 6 6 7
si2_r001_m200.00 7 1 0 0 0 0 0 0 0 0 6 6 7
si2_r001_m200.08 7 1 0 0 0 0 0 0 0 0 6 6 7
si6_b03m_m800.01 4 1 10 10 10 10 10 14 10 10 207 207 205
si6_b03m_m800.08 4 1 14 11 11 11 11 10 10 10 191 192 185
si6_b03m_m800.03 4 1 15 11 11 11 11 14 10 14 190 192 190
si6_b03m_m800.00 4 1 15 11 11 14 11 10 10 10 207 206 205
si6_b03m_m800.04 4 1 11 10 10 11 11 14 10 10 205 206 202
si6_b03m_m800.05 4 1 11 11 15 11 14 10 10 10 205 206 189
si6_b03m_m800.07 4 1 10 10 10 10 10 14 13 14 205 204 206
si6_b03m_m800.06 4 1 19 10 10 19 10 9 9 10 200 201 199
si6_b03m_m800.09 4 1 10 10 11 11 10 10 10 12 207 206 203
si6_b03m_m800.02 4 1 11 11 11 10 10 15 11 10 205 207 204
si4_r005_m200.00 7 1 12 25 30 11 63 43 22 22 18 16 17
si4_r005_m200.08 7 1 0 9 1 0 2 1 0 0 9 9 9
si4_r005_m200.02 7 1 9 4 7 7 236 12 12 9 12 12 12
si4_r005_m200.05 7 1 1 3 1 0 7 1 0 0 10 9 10
si4_r005_m200.06 7 1 3 3 2 6 20 1 1 1 11 9 12
si4_r005_m200.04 7 1 1 76 66 1 11 11 1 3 10 9 10
si4_r005_m200.07 7 1 3 13 2 3 14 2 3 4 11 9 12
si4_r005_m200.09 7 1 8 16 11 10 46 10 12 13 12 12 15
si4_r005_m200.01 7 1 0 12 9 1 1 11 14 4 8 8 10
si4_r005_m200.03 7 1 10 13 8 17 42 18 14 15 11 11 11
si6_b09m_m400.03 4 1 1 1 1 1 2 1 2 1 49 50 48
si6_b09m_m400.07 4 1 1 1 2 2 1 1 1 1 49 47 45
si6_b09m_m400.00 4 1 1 1 1 1 1 1 2 1 50 47 46
si6_b09m_m400.04 4 1 1 1 2 1 1 1 1 1 49 48 47
si6_b09m_m400.06 4 1 1 1 1 1 1 2 2 2 48 48 46
si6_b09m_m400.08 4 1 2 1 1 2 1 1 1 1 49 47 47
si6_b09m_m400.02 4 1 1 1 2 1 2 1 1 1 48 48 48
si6_b09m_m400.05 4 1 1 1 1 1 1 2 1 1 48 48 46
si6_b09m_m400.09 4 1 1 1 1 1 2 2 1 1 45 47 46
si6_b09m_m400.01 4 1 1 1 1 1 1 2 1 1 48 49 49
si2_b09_m200.08 3 1 0 0 0 0 0 0 0 0 6 7 8
si2_b09_m200.01 3 1 0 0 0 0 0 0 0 0 5 5 6
si2_b09_m200.06 3 1 0 0 0 0 0 0 0 0 5 6 6
