instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_m4Dr6_m256.01 6 1 24 15 22 23 44 22 23 23 54 60 114
si2_m4Dr6_m256.08 6 1 96 84 49 73 851 49 73 73 396 376 635
si2_m4Dr6_m256.03 6 1 12 8 8 12 28 8 12 12 29 39 36
si6_r01_m200.04 7 1 23 743 445 52 52 445 52 52 241 276 306
si6_r01_m200.08 7 1 329 389 437 198 3357 437 198 198 5372 5295 5288
si6_r01_m200.02 7 1 1254 3889 3236 1274 1316 2277 2433 6270 21006 22263 14463
si6_r01_m200.09 7 1 581 15746 11511 2147 535 6156 1855 2851 4445 5597 1643
si6_r01_m200.07 7 1 602 1183 1224 523 2439 1003 523 523 4424 3005 3149
si6_r01_m200.00 7 1 2956 2129 24 3100 67036 24 2073 15313 33424 36872 19847
si6_r01_m200.01 7 1 192 56990 3366 263 778 44497 263 263 2593 2816 1413
si6_r01_m200.03 7 1 8028 6450 13134 9047 103936 11943 10116 3285 72547 57283 13504
si6_r01_m200.05 7 1 1595 16426 11860 1602 2191 12488 692 695 20210 32410 13881
si6_r01_m200.06 7 1 871 10575 1889 1850 1043 5466 1128 3742 1987 2276 3153
si2_b03m_m800.03 4 1 60 60 60 60 60 60 60 60 1166 1207 1147
si2_b03m_m800.02 4 1 54 54 54 54 54 54 54 54 1008 1044 976
si2_b03m_m800.09 4 1 52 52 52 52 52 52 52 52 911 924 1046
si2_b03m_m800.04 4 1 40 40 40 40 40 40 40 40 371 478 685
si2_b03m_m800.06 4 1 61 54 54 61 58 54 61 61 615 1390 1318
si2_b03m_m800.05 4 1 51 51 51 51 51 51 51 51 990 1132 821
si2_b03m_m800.01 4 1 38 38 38 38 38 38 38 38 761 557 558
si2_b03m_m800.08 4 1 48 48 48 48 48 48 48 48 1004 942 928
