instance family mcsplitdown2 mcsplitdownbiasedrestarts2
si6_b03_m800.08 3 15 15
si4_m4D_m1296.09 5 30 62
si4_m4D_m1296.06 5 32 46
si4_m4D_m1296.05 5 45 34
si4_m4D_m1296.00 5 443 690
si4_m4D_m1296.03 5 224 62
si4_m4D_m1296.04 5 61 48
si4_m4D_m1296.08 5 NaN 3812
si4_m4D_m1296.02 5 107 54
si4_m4D_m1296.01 5 48 50
si4_m4D_m1296.07 5 37 31
si6_b03m_m400.03 4 5 5
si6_b03m_m400.01 4 7 9
si6_b03m_m400.09 4 3 7
si6_b03m_m400.08 4 5 5
si6_b03m_m400.07 4 4 7
si6_b03m_m400.02 4 7 5
si6_b03m_m400.05 4 4 4
si6_b03m_m400.00 4 7 5
si6_b03m_m400.06 4 5 5
si6_b03m_m400.04 4 4 7
si4_m4D_m256.07 5 1 1
si4_m4D_m256.06 5 1 2
si4_m4D_m256.05 5 1 1
si4_m4D_m256.08 5 2 2
si4_m4D_m256.04 5 2 1
si4_m4D_m256.09 5 3 1
si4_m4D_m256.02 5 1 1
si4_m4D_m256.00 5 4 3
