instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si4_r001_m200.01 7 1 18 19
si4_r001_m200.03 7 1 12 13
si4_r001_m200.06 7 1 6 5
si4_r001_m200.05 7 1 15 15
si4_r001_m200.08 7 1 16 13
si4_r001_m200.09 7 1 77 25
si4_r001_m200.02 7 1 28 40
si2_m4D_m256.08 5 1 6 20
si2_m4D_m256.03 5 1 7 9
si2_m4D_m256.02 5 1 7 6
si2_m4D_m256.06 5 1 7 6
si2_m4D_m256.04 5 1 3 3
si2_m4D_m256.07 5 1 6 10
si2_m4D_m256.01 5 1 7 11
si2_m4D_m256.09 5 1 7 20
si2_m4D_m256.00 5 1 6 22
si2_m4D_m256.05 5 1 6 7
si6_r01_m400.04 7 1 2808 5447
si6_r01_m400.08 7 1 11468 12499
si6_r01_m400.07 7 1 5 18
si6_r01_m400.06 7 1 2079 972
si6_r01_m400.05 7 1 841 2769
si6_r01_m400.02 7 1 702 668
si6_r01_m400.00 7 1 4024 2093
si6_r01_m400.03 7 1 16390 11959
si6_r01_m400.01 7 1 8411 8709
si6_r01_m400.09 7 1 33575 49489
si2_m4Dr4_m625.07 6 1 15 15
si2_m4Dr4_m625.02 6 1 25 25
si2_m4Dr4_m625.03 6 1 6 6
si2_m4Dr4_m625.00 6 1 8 8
si2_m4Dr4_m625.05 6 1 9 9
si2_m4Dr4_m625.06 6 1 27 28
si2_m4Dr4_m625.09 6 1 4094 3431
si2_m4Dr4_m625.01 6 1 28 30
si2_m4Dr4_m625.08 6 1 548 350
si2_m4Dr4_m625.04 6 1 96 111
si4_r01_m400.01 7 1 7656 11589
si4_r01_m400.08 7 1 636 811
si4_r01_m400.02 7 1 11407 24724
si4_r01_m400.03 7 1 48049 43684
si4_r01_m400.07 7 1 8729 324
si4_r01_m400.06 7 1 991 811
si4_r01_m400.04 7 1 329839 92104
si4_r01_m400.00 7 1 198971 278581
si4_r01_m400.05 7 1 25680 21284
si4_r01_m400.09 7 1 186530 218729
si2_b09m_m400.09 4 1 10 10
si2_b09m_m400.03 4 1 10 11
si2_b09m_m400.01 4 1 16 16
si2_b09m_m400.08 4 1 17 40
si2_b09m_m400.05 4 1 5 5
si2_b09m_m400.06 4 1 11 11
si2_b09m_m400.00 4 1 5 5
si2_b09m_m400.02 4 1 10 10
si2_b09m_m400.04 4 1 8 8
si2_b09m_m400.07 4 1 7 7
